                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.08481,                0.99507,                      1,                 1.4719,             0.00023536,             0.00023536,             0.00023536
                      2,                0.10075,                0.99261,                      1,                 1.4787,             0.00042649,             0.00042649,             0.00042649
                      3,                0.11748,                0.98522,                      1,                 1.4817,             0.00057051,             0.00057051,             0.00057051
                      4,                0.09084,                0.99015,                      1,                 1.4799,             0.00050194,             0.00050194,             0.00050194
                      5,                0.09295,                0.99754,                      1,                 1.4742,             0.00043126,             0.00043126,             0.00043126
                      6,                 0.0748,                0.99261,                      1,                 1.4704,             0.00036057,             0.00036057,             0.00036057
                      7,                0.05472,                0.99015,                      1,                 1.4748,             0.00028988,             0.00028988,             0.00028988
                      8,                0.05264,                0.99015,                      1,                 1.4738,              0.0002192,              0.0002192,              0.0002192
                      9,                0.05488,                0.99015,                      1,                 1.4711,             0.00014851,             0.00014851,             0.00014851
                     10,                0.04094,                0.99261,                      1,                 1.4686,             7.7826e-05,             7.7826e-05,             7.7826e-05
